Date,Close/Last,Volume,Open,High,Low
05/31/2022,$127.65,11346160,$130,$131.905,$124.69
05/27/2022,$129.91,16797590,$127.9,$130.61,$123.31
05/26/2022,$126.8,35730320,$117.03,$134.5,$112.1
05/25/2022,$132.77,13474740,$128.61,$135.615,$126.9
05/24/2022,$129.63,8593462,$138.14,$138.62,$125.77
05/23/2022,$138.85,6250402,$138.38,$142.78,$133.51
05/20/2022,$141.49,7485222,$148,$148.98,$134.26
05/19/2022,$146.82,7643114,$140.04,$152.63,$138.6849
05/18/2022,$137.76,6221689,$142.45,$146.35,$134.1001
05/17/2022,$145.81,7512956,$151.35,$153.88,$138.34
05/16/2022,$144.51,5964496,$155.44,$159.15,$143.52
05/13/2022,$158.36,8540412,$145.1,$159.72,$145.1
05/12/2022,$140.6,9381475,$130.12,$146.89,$126.01
05/11/2022,$132.88,8271568,$139.53,$147.36,$132.15
05/10/2022,$143.76,9287239,$149.4,$152.26,$132
05/09/2022,$143.29,9364657,$152.05,$155.74,$142.05
05/06/2022,$155.27,8785077,$164.34,$165.69,$151.21
05/05/2022,$166.18,8838721,$179.59,$179.95,$162.51
05/04/2022,$186,6957355,$178.75,$187.23,$166.67
05/03/2022,$176.42,4610042,$176.6,$181.09,$172.1801
05/02/2022,$177.76,4614623,$170.31,$177.98,$167.14
04/29/2022,$171.44,6805143,$187.45,$195.84,$171.125
04/28/2022,$185.71,6166119,$179,$187.66,$172.35
04/27/2022,$174.95,5688333,$183.65,$188.63,$173.8
04/26/2022,$178.76,5078108,$185.42,$186.85,$176.7914
04/25/2022,$186.94,7585593,$176,$190.7851,$175.2
04/22/2022,$173.8,3986552,$178.78,$181.18,$172.76
04/21/2022,$175.14,5417298,$188.93,$193.41,$174.68
04/20/2022,$185.98,4713089,$199.49,$199.49,$185.39
04/19/2022,$197.43,4517427,$193.84,$202.49,$190.0984
04/18/2022,$192.39,4037376,$198.21,$199.49,$189.88
04/14/2022,$198.63,6470090,$214.98,$215,$198.56
04/13/2022,$214.41,3393849,$209.97,$216.5,$209.79
04/12/2022,$210.94,6790304,$213.13,$222,$209.72
04/11/2022,$208.53,4482179,$207.4,$214.71,$201.63
04/08/2022,$208.34,3947517,$209.84,$213.67,$206.5401
04/07/2022,$213.88,6089231,$212.4,$217.3,$203.08
04/06/2022,$212.09,7872119,$221.25,$221.39,$205.89
04/05/2022,$227.09,4820408,$239.27,$240.91,$224.1
04/04/2022,$241.23,3384473,$235.38,$243.33,$234.665
04/01/2022,$234.81,5847447,$229.31,$244.05,$228.4701
03/31/2022,$229.13,3842281,$230.99,$237.3015,$227
03/30/2022,$231.63,5388589,$236.01,$244.39,$228.54
03/29/2022,$239.67,6886226,$240,$246.5199,$236
03/28/2022,$235.89,7485537,$220,$238.5384,$219.0101
03/25/2022,$219.81,4538904,$227.8,$231.7699,$216.23
03/24/2022,$227.57,4723084,$222,$227.71,$210
03/23/2022,$222.24,4043311,$221.18,$228.7799,$216.81
03/22/2022,$224.96,6100404,$212.79,$229.34,$210.5701
03/21/2022,$212.97,6802244,$217.76,$222.17,$206.06
03/18/2022,$222.85,10058160,$212.08,$225.43,$209.11
03/17/2022,$208.85,8301081,$195,$210.76,$191.06
03/16/2022,$197.84,13954580,$177.02,$198.16,$176.23
03/15/2022,$170.78,8147709,$168.98,$172,$164.29
03/14/2022,$166.75,7706369,$178.86,$181.5,$164.36
03/11/2022,$180.42,5857237,$200,$200.01,$179.93
03/10/2022,$197.85,4517322,$202.97,$202.97,$192.25
03/09/2022,$207.56,5929835,$201.44,$210.11,$196.7
03/08/2022,$191.61,8598340,$191,$199.46,$182.74
03/07/2022,$193,8270380,$215.26,$219.835,$192.405
03/04/2022,$209.65,10412240,$219.27,$224.42,$208.05
03/03/2022,$224.02,33628780,$223.417,$234,$215.71
03/02/2022,$264.69,13372780,$265.65,$268.5,$250.58
03/01/2022,$263.19,2975430,$267.54,$272.88,$261.31
02/28/2022,$265.66,4496529,$267.99,$274.5773,$260.7
02/25/2022,$269.42,2730113,$267.8,$275.895,$263.01
02/24/2022,$269.87,5006416,$242.61,$270.43,$240.1
02/23/2022,$252.63,3094268,$272.42,$276.87,$252
02/22/2022,$267.78,3624374,$271.06,$282.48,$264.53
02/18/2022,$273.77,3939524,$290.96,$295,$272.63
02/17/2022,$286.28,3381932,$298.02,$304.85,$285.5
02/16/2022,$304.7,2929330,$295,$306.07,$294.15
02/15/2022,$300,2756759,$298.83,$302,$291.85
02/14/2022,$291.13,2506942,$294.06,$300.801,$290.33
02/11/2022,$293.69,4693506,$312,$321.3285,$288.59
02/10/2022,$311.11,6054355,$300.2,$329.49,$299.5
02/09/2022,$307.94,2730768,$304.9,$308.2,$299
02/08/2022,$293.51,2717317,$287.2,$298.5,$287.2
02/07/2022,$293.19,8317063,$291,$304.46,$286.7701
02/04/2022,$275.72,4393426,$262.56,$283,$255.38
02/03/2022,$256.26,3197715,$254.2,$266,$251
02/02/2022,$268.28,2751182,$282.56,$282.8,$265.33
02/01/2022,$283.76,3219451,$281.8,$286.85,$270.33
01/31/2022,$275.9,3984352,$261,$276.17,$258.161
01/28/2022,$253.52,4990034,$244,$254.14,$232.83
01/27/2022,$244.72,4670658,$259.71,$262,$241.86
01/26/2022,$253.1,5117467,$272.5,$276.7399,$248.138
01/25/2022,$263.43,4707248,$275.27,$278.49,$257.78
01/24/2022,$277.5,7170201,$260.21,$281.57,$245.2
01/21/2022,$267.56,4507216,$278.74,$282.95,$264.7
01/20/2022,$279.27,2747339,$290.46,$297.5,$278.52
01/19/2022,$282.56,2887726,$289.02,$298.11,$282.5
01/18/2022,$287.68,3849412,$289.32,$296.97,$282.09
01/14/2022,$289.59,2888174,$287.69,$297.38,$283.121
01/13/2022,$291.76,3076803,$308.65,$308.99,$291.0393
01/12/2022,$307.14,3630529,$316,$316,$303.41
01/11/2022,$301.27,3083416,$296.26,$308.55,$293.3306
01/10/2022,$302.73,5469417,$290,$303.09,$273.83
01/07/2022,$299.68,2700554,$296.98,$307.5747,$292.06
01/06/2022,$297.09,3936874,$294.24,$306.56,$286
01/05/2022,$296.87,4431391,$308.4,$315.34,$291.56
01/04/2022,$315.53,5695736,$330.25,$330.51,$298.71
01/03/2022,$332.01,2596992,$341,$344,$322.275
12/31/2021,$338.75,1697265,$342,$347.7,$331.18
12/30/2021,$340.63,1272621,$340,$347.7,$339.42
12/29/2021,$344.21,1739416,$340,$345.9,$334.7
12/28/2021,$340.18,1787290,$354.07,$354.92,$339.5
12/27/2021,$351.99,1324652,$351,$358.58,$349.79
12/23/2021,$349.22,1540241,$355,$356.4877,$349.05
12/22/2021,$358.1,1828573,$355.63,$362.52,$349.14
12/21/2021,$354.82,2793723,$336.2,$357.11,$330.18
12/20/2021,$331.07,2065157,$326.49,$337.82,$323.06
12/17/2021,$332.33,3842628,$322.79,$337.72,$318.48
12/16/2021,$324.98,8171635,$349.41,$352.94,$312.0001
12/15/2021,$360.34,2847068,$347.99,$361.71,$345
12/14/2021,$350.6,3623644,$344.09,$357.75,$340.01
12/13/2021,$353.91,4800312,$363.71,$377.26,$348.56
12/10/2021,$371.24,3679293,$364,$374.72,$362.18
12/09/2021,$361.32,2464918,$370,$370.73,$358.64
12/08/2021,$370.28,2675724,$362.45,$373.95,$351.31
12/07/2021,$363.25,4377233,$348.42,$375,$348.12
12/06/2021,$341.66,3865780,$340.26,$349.74,$324.0013
12/03/2021,$345.11,6019308,$358.19,$360.005,$330.82
12/02/2021,$360.28,15083120,$350,$361.599,$328.6101
12/01/2021,$311,6871873,$344,$347.6899,$305.61
11/30/2021,$340.15,5545394,$366.3,$367.7462,$337.455
11/29/2021,$364.78,3126538,$372.36,$378.105,$356.701
11/26/2021,$362.6,1571620,$349.92,$363.45,$349.25
11/24/2021,$355.36,2380691,$340,$357.85,$337.5
11/23/2021,$343.57,4762684,$343,$353.5,$335.05
11/22/2021,$355.96,6071926,$392.1,$392.3999,$353.2902
11/19/2021,$392.15,2335032,$395,$400.6034,$390.55
11/18/2021,$397.43,2799384,$399,$404.365,$396.39
11/17/2021,$398,2837819,$400.83,$405,$395.55
11/16/2021,$401.89,3374739,$395,$403.65,$392.85
11/15/2021,$393.7,3745730,$385.5,$394.7183,$383.67
11/12/2021,$386.5,2997066,$377.39,$386.99,$374.62
11/11/2021,$369.14,1587051,$364.34,$372,$364.14
11/10/2021,$361.08,2362425,$370.3,$372.11,$358.92
11/09/2021,$376.7,2128317,$371.06,$377.13,$363.68
11/08/2021,$370.73,1527456,$367.1,$374.87,$364
11/05/2021,$364.8,2103120,$357.93,$365.79,$357.28
11/04/2021,$356.79,1468367,$354.8,$358.05,$351.01
11/03/2021,$353.14,2566047,$356,$357.405,$346.36
11/02/2021,$359.64,1582829,$359.42,$363.79,$355.22
11/01/2021,$357.73,2139067,$353.84,$359.07,$351.58
10/29/2021,$353.84,1687572,$348.11,$356,$347.36
10/28/2021,$348,1753174,$346.48,$352.6127,$343.17
10/27/2021,$347.1,2656502,$342.8,$351.95,$342.24
10/26/2021,$342.24,1637123,$345.35,$346.64,$336
10/25/2021,$341.5,1134177,$341.11,$347.9067,$339.105
10/22/2021,$339.78,1025982,$340.39,$344.213,$336.22
10/21/2021,$342.05,1514166,$334,$344.86,$331.51
10/20/2021,$334.13,2093267,$340,$340.6881,$332.7
10/19/2021,$339.74,2371062,$339.86,$344.5,$338.51
10/18/2021,$337.88,5323331,$332,$340.99,$330.7
10/15/2021,$333.57,1729111,$334.9,$335.71,$329.45
10/14/2021,$332.12,2731650,$330.22,$338.36,$329.89
10/13/2021,$327.85,4610220,$316.16,$329.75,$314.024
10/12/2021,$312.94,1738375,$310.78,$315.92,$308.55
10/11/2021,$309.79,1184468,$312.99,$317.3,$309.18
10/08/2021,$313.52,1793195,$323.45,$325.38,$313.2
10/07/2021,$320.05,2548491,$311.03,$322.91,$310.5
10/06/2021,$309.62,2018543,$297,$310.06,$295.73
10/05/2021,$300.28,2131649,$290.01,$303.3,$290.01
10/04/2021,$294.68,1955900,$300.01,$300.475,$290.2829
