Date,Close/Last,Volume,Open,High,Low
10/03/2018,$148.3027,3315292,$149.0577,$149.4061,$147.8962
10/02/2018,$148.8157,3025052,$148.0801,$148.9028,$147.6058
10/01/2018,$148.0898,3737903,$146.8412,$148.4963,$146.8412
09/28/2018,$146.3572,3305324,$146.3088,$146.7589,$145.9507
09/27/2018,$146.6379,3475431,$147.1315,$147.4982,$146.3088
09/26/2018,$146.7444,7147572,$147.509,$148.4285,$146.483
09/25/2018,$144.131,4030483,$145.0989,$145.5829,$143.5987
09/24/2018,$145.2151,4215756,$146.2507,$146.3475,$144.6634
09/21/2018,$146.4927,19847660,$146.6185,$147.7026,$145.9023
09/20/2018,$146.2991,5822864,$144.7795,$146.5217,$144.644
09/19/2018,$144.2762,4246174,$143.86,$145.1472,$143.4728
09/18/2018,$143.7922,3413076,$143.0179,$144.2036,$142.7372
09/17/2018,$143.1921,3307740,$143.6761,$144.2859,$143.0276
09/14/2018,$143.5696,3240966,$144.0729,$144.5085,$143.0373
09/13/2018,$144.1697,5150862,$142.6211,$144.2181,$142.3964
09/12/2018,$141.8661,4490979,$141.6725,$143.2309,$141.3434
09/11/2018,$141.7887,3374678,$141.3144,$142.2726,$140.5885
09/10/2018,$140.9756,3335742,$141.8952,$142.5727,$140.8885
09/07/2018,$140.7821,4453753,$141.2563,$141.8014,$140.4626
09/06/2018,$141.6919,4248781,$142.1662,$142.9211,$140.8692
09/05/2018,$141.9532,3107991,$140.5304,$142.0403,$140.3949
09/04/2018,$141.0047,3090177,$141.295,$141.4983,$140.1626
08/31/2018,$141.779,3436359,$141.0434,$142.0694,$140.8693
08/30/2018,$141.2467,3338329,$142.3114,$142.5727,$140.5885
08/29/2018,$142.805,2699766,$142.1565,$143.1825,$141.8952
08/28/2018,$141.8855,2449441,$142.2339,$142.2726,$141.4983
08/27/2018,$141.9823,3026798,$142.2242,$142.8824,$141.8177
08/24/2018,$141.3531,2727395,$140.7917,$141.3985,$140.2207
08/23/2018,$140.7046,2220427,$140.3852,$140.8498,$140.1045
08/22/2018,$140.5788,2246709,$141.3241,$141.4693,$140.5304
08/21/2018,$141.2854,2813028,$142.2823,$142.3985,$141.2079
08/20/2018,$141.808,2499398,$141.6725,$142.4372,$141.4596
08/17/2018,$141.3725,2678645,$140.1432,$141.6919,$140.0464
08/16/2018,$140.6756,5250704,$139.7367,$141.0047,$139.7367
08/15/2018,$139.2915,4240961,$137.9751,$139.3786,$137.4428
08/14/2018,$138.7591,2860006,$138.4107,$139.2044,$138.3429
08/13/2018,$138.13,2858415,$139.5238,$139.669,$137.9558
08/10/2018,$139.8432,3001883,$139.8625,$140.4143,$139.2624
08/09/2018,$140.1239,3093453,$140.8595,$141.2563,$140.0852
08/08/2018,$142.1758,3580415,$142.6017,$142.6985,$141.5467
08/07/2018,$142.292,3505622,$141.9435,$142.9018,$141.6532
08/06/2018,$141.3434,3912466,$142.2339,$142.4759,$140.8982
08/03/2018,$142.9598,8053092,$138.643,$143.1728,$138.4107
08/02/2018,$138.372,3836238,$138.2752,$138.7591,$137.7622
08/01/2018,$138.8946,3387120,$140.1142,$140.5304,$138.7398
07/31/2018,$140.2787,5473146,$141.0628,$141.1208,$139.5325
07/30/2018,$140.8208,3450004,$140.1529,$141.5467,$140.0464
07/27/2018,$140.4917,3749286,$142.1758,$142.4178,$140.0174
07/26/2018,$142.0016,4776629,$142.6985,$144.4795,$141.9242
07/25/2018,$141.9145,3628272,$141.3241,$141.9435,$140.8305
07/24/2018,$141.6822,3891462,$141.9919,$142.321,$141.237
07/23/2018,$141.024,3767643,$141.6532,$141.9919,$140.361
07/20/2018,$141.6532,6411644,$143.8116,$144.0826,$141.5661
07/19/2018,$144.4504,14536290,$143.105,$145.7087,$142.5243
07/18/2018,$139.8819,6651091,$138.9043,$140.1529,$138.1543
07/17/2018,$138.885,5087700,$140.1045,$140.3465,$138.7398
07/16/2018,$140.7917,3463840,$140.995,$141.1111,$139.5819
07/13/2018,$141.2176,3062531,$141.75,$142.2629,$141.1208
07/12/2018,$141.75,3096255,$141.1692,$142.1178,$141.0628
07/11/2018,$140.2884,3466858,$139.3786,$141.4983,$139.3786
07/10/2018,$140.0658,3721923,$139.8722,$140.9176,$139.6254
07/09/2018,$139.7561,3840834,$138.0138,$140.0755,$137.8977
07/06/2018,$137.9074,2910426,$136.9879,$138.3526,$136.6394
07/05/2018,$136.8911,3684736,$135.9716,$136.8911,$135.4392
07/03/2018,$135.0908,1963232,$136.1361,$136.4168,$134.8951
07/02/2018,$135.3715,3404522,$133.8422,$135.7199,$133.7647
06/29/2018,$135.2166,3709514,$135.8167,$136.8224,$135.1295
06/28/2018,$135.5457,4523146,$133.6679,$136.0296,$133.5179
06/27/2018,$133.0678,4097173,$134.6455,$135.294,$133.0388
06/26/2018,$134.6165,4132936,$134.8875,$135.3617,$133.8906
06/25/2018,$134.3358,8936500,$135.8941,$135.8941,$133.8422
06/22/2018,$136.7459,5978837,$137.0943,$137.2589,$136.2619
06/21/2018,$136.7168,3719842,$138.0138,$138.5462,$136.3103
06/20/2018,$138.0526,3327016,$139.5915,$139.8819,$137.8396
06/19/2018,$139.2818,3480989,$138.5268,$139.5915,$138.3623
06/18/2018,$139.8432,3955267,$139.5528,$139.8819,$138.5462
06/15/2018,$140.724,9101344,$140.2497,$140.8014,$139.0882
06/14/2018,$140.5401,3278242,$141.9435,$142.263,$140.4336
06/13/2018,$141.6532,2636788,$142.0791,$142.7372,$141.508
06/12/2018,$142.1565,2640091,$142.3791,$142.7856,$141.9145
06/11/2018,$141.8758,3187860,$141.9145,$142.6792,$141.4499
06/08/2018,$141.4499,5059360,$140.3465,$141.7306,$139.7367
